Taxonomic identifier	Abundance	Reference: http://dx.doi.org/10.1111/mec.12690
GCF_000238915.1_ASM23891v2_genomic.fna	0.348954456841002	
GCF_000167575.1_ASM16757v1_genomic.fna	0.138845227417228	
GCF_000480615.1_Pseu_aeru_3094_V1_genomic.fna	0.118378930477369	
GCF_000058485.1_ASM5848v1_genomic.fna	0.0646294004218338	
GCF_000454425.1_RodocDN1_genomic.fna	0.0540698400695983	
GCF_000261265.1_Blongum44Bv1.0_genomic.fna	0.0339987940924561	
GCF_000382065.1_ASM38206v1_genomic.fna	0.024772965090842	
GCF_000502415.1_Mloti_LNHC229A00_genomic.fna	0.0236853206724824	
GCF_000177335.1_ASM17733v1_genomic.fna	0.0208787767070262	
GCF_000012725.1_ASM1272v1_genomic.fna	0.0207749579327305	
GCF_000292915.1_ASM29291v1_genomic.fna	0.0190383727568224	
GCF_000023405.1_ASM2340v1_genomic.fna	0.0142578145925037	
GCF_000411215.1_Delf_acid_CCUG_15835_V1_genomic.fna	0.0135599827516174	
GCF_000015325.1_ASM1532v1_genomic.fna	0.0114088403453788	
GCF_000007145.1_ASM714v1_genomic.fna	0.0110192670568563	
GCF_000026125.1_ASM2612v1_genomic.fna	0.00965244857041439	
GCF_000013885.1_ASM1388v1_genomic.fna	0.00806798590653341	
GCF_000025265.1_ASM2526v1_genomic.fna	0.00704679855584767	
GCF_000186325.1_ASM18632v1_genomic.fna	0.00577845834939243	
GCF_000144605.1_ASM14460v1_genomic.fna	0.00530314347912321	
GCF_000160775.2_ASM16077v2_genomic.fna	0.00524341913238068	
GCF_000193595.2_ASM19359v3_genomic.fna	0.00524202690575838	
GCF_000012445.1_ASM1244v1_genomic.fna	0.00440298195364309	
GCF_000384815.1_ASM38481v1_genomic.fna	0.00391158033982403	
GCF_000024345.1_ASM2434v1_genomic.fna	0.00348363380502443	
GCF_000013905.1_ASM1390v1_genomic.fna	0.00344434691002643	
GCF_000010605.1_ASM1060v1_genomic.fna	0.00336124838350797	
GCF_000014925.1_ASM1492v1_genomic.fna	0.00321738134028025	
GCF_000144025.1_ASM14402v1_genomic.fna	0.00321202996920079	
GCF_000018845.1_ASM1884v1_genomic.fna	0.00259607845653841	
GCF_000185965.1_ASM18596v1_genomic.fna	0.00224450860409648	
GCF_000024925.1_ASM2492v1_genomic.fna	0.0020831082068442	
GCF_000359565.1_PA45_genomic.fna	0.00176221084717479	
GCF_000377585.1_ASM37758v1_genomic.fna	0.00167366305864249	
